date,open,high,low,close
2022-06-16,ESU22,3799.0,3833.25,3642.0
2022-06-17,ESU22,3680.5,3713.5,3639.0
2022-06-21,ESU22,3684.0,3783.75,3661.5
2022-06-22,ESU22,3766.25,3805.5,3693.25
2022-06-23,ESU22,3761.25,3805.75,3735.0
2022-06-24,ESU22,3785.25,3919.75,3781.25
2022-06-27,ESU22,3915.0,3948.0,3892.5
2022-06-28,ESU22,3911.25,3950.0,3821.75
2022-06-29,ESU22,3828.25,3840.0,3801.25
2022-06-30,ESU22,3822.75,3825.0,3741.25
2022-07-01,ESU22,3782.0,3833.5,3744.5
2022-07-05,ESU22,3828.5,3857.75,3744.0
2022-07-06,ESU22,3838.0,3875.0,3808.75
2022-07-07,ESU22,3853.75,3914.25,3832.5
2022-07-08,ESU22,3897.0,3922.0,3868.0
2022-07-11,ESU22,3900.0,3900.75,3850.0
2022-07-12,ESU22,3862.0,3876.5,3804.75
2022-07-13,ESU22,3825.0,3873.0,3752.0
2022-07-14,ESU22,3795.75,3806.25,3723.75
2022-07-15,ESU22,3797.75,3868.25,3780.25
2022-07-18,ESU22,3878.5,3909.5,3820.25
2022-07-19,ESU22,3838.5,3948.0,3834.0
2022-07-20,ESU22,3947.0,3977.25,3922.25
2022-07-21,ESU22,3954.0,4004.75,3930.25
2022-07-22,ESU22,3988.0,4016.25,3941.5
2022-07-25,ESU22,3967.75,3988.75,3946.0
2022-07-26,ESU22,3959.0,3964.5,3913.25
2022-07-27,ESU22,3939.25,4042.75,3938.75
2022-07-28,ESU22,4022.0,4111.0,3994.5
2022-07-29,ESU22,4105.0,4144.0,4081.0
2022-08-01,ESU22,4137.5,4147.25,4097.0
2022-08-02,ESU22,4119.75,4143.0,4080.5
2022-08-03,ESU22,4097.0,4170.0,4084.5
2022-08-04,ESU22,4150.25,4173.25,4136.0
2022-08-05,ESU22,4152.0,4166.25,4103.75
2022-08-08,ESU22,4149.75,4188.0,4129.25
2022-08-09,ESU22,4148.5,4155.0,4113.0
2022-08-10,ESU22,4128.75,4213.5,4113.75
2022-08-11,ESU22,4210.75,4260.5,4202.75
2022-08-12,ESU22,4219.25,4282.75,4208.25
2022-08-15,ESU22,4277.0,4304.75,4249.0
2022-08-16,ESU22,4294.5,4327.5,4278.75
2022-08-17,ESU22,4309.25,4315.0,4255.0
2022-08-18,ESU22,4279.5,4295.5,4258.0
2022-08-19,ESU22,4287.0,4288.0,4220.75
2022-08-22,ESU22,4221.0,4221.5,4131.5
2022-08-23,ESU22,4147.0,4161.75,4118.0
2022-08-24,ESU22,4128.25,4158.5,4110.75
2022-08-25,ESU22,4148.75,4202.75,4143.0
2022-08-26,ESU22,4198.25,4217.25,4042.75
2022-08-29,ESU22,4024.0,4064.0,4006.75
2022-08-30,ESU22,4035.75,4072.75,3964.5
2022-08-31,ESU22,3987.25,4018.25,3953.0
2022-09-01,ESU22,3958.0,3971.25,3903.5
2022-09-02,ESU22,3967.5,4019.25,3906.0
2022-09-06,ESU22,3929.0,3963.25,3886.75
2022-09-07,ESU22,3907.5,3988.75,3883.5
2022-09-08,ESU22,3980.0,4011.5,3942.75
2022-09-09,ESU22,4010.25,4077.25,4005.75
2022-09-12,ESZ22,4096.0,4137.75,4080.25
2022-09-13,ESZ22,4137.5,4175.0,3938.5
2022-09-14,ESZ22,3956.75,3981.25,3929.0
2022-09-15,ESZ22,3972.0,3977.5,3905.0
2022-09-16,ESZ22,3904.0,3905.0,3853.0
2022-09-19,ESZ22,3889.5,3927.0,3846.25
2022-09-20,ESZ22,3923.0,3936.25,3843.25
2022-09-21,ESZ22,3878.75,3925.25,3792.0
2022-09-22,ESZ22,3794.0,3833.0,3763.5
2022-09-23,ESZ22,3777.25,3783.25,3660.25
2022-09-26,ESZ22,3705.25,3730.5,3657.5
2022-09-27,ESZ22,3668.0,3733.0,3635.25
2022-09-28,ESZ22,3668.5,3751.25,3613.0
2022-09-29,ESZ22,3730.25,3736.0,3622.0
2022-09-30,ESZ22,3656.5,3693.75,3595.25
2022-10-03,ESZ22,3593.25,3711.75,3571.75
2022-10-04,ESZ22,3696.5,3808.75,3686.25
2022-10-05,ESZ22,3801.0,3820.0,3734.0
2022-10-06,ESZ22,3795.75,3819.5,3750.0
2022-10-07,ESZ22,3745.75,3772.0,3632.5
2022-10-10,ESZ22,3638.75,3667.5,3600.0
2022-10-11,ESZ22,3624.75,3653.25,3579.0
2022-10-12,ESZ22,3607.0,3635.25,3585.5
2022-10-13,ESZ22,3596.25,3697.75,3502.0
2022-10-14,ESZ22,3680.25,3733.75,3591.25
2022-10-17,ESZ22,3591.0,3702.5,3590.5
2022-10-18,ESZ22,3706.25,3777.25,3697.25
2022-10-19,ESZ22,3759.75,3774.25,3676.75
2022-10-20,ESZ22,3708.0,3748.0,3666.25
2022-10-21,ESZ22,3677.75,3773.25,3641.5
2022-10-24,ESZ22,3771.0,3822.0,3736.5
2022-10-25,ESZ22,3803.25,3874.25,3790.0
2022-10-26,ESZ22,3841.0,3897.5,3824.25
2022-10-27,ESZ22,3844.25,3870.75,3757.5
2022-10-28,ESZ22,3798.25,3924.25,3776.75
2022-10-31,ESZ22,3911.5,3914.75,3872.25
2022-11-01,ESZ22,3884.0,3928.0,3852.5
2022-11-02,ESZ22,3863.0,3907.0,3760.25
2022-11-03,ESZ22,3766.75,3782.5,3704.25
2022-11-04,ESZ22,3724.0,3805.5,3711.0
2022-11-07,ESZ22,3750.0,3821.75,3738.25
2022-11-08,ESZ22,3812.75,3867.0,3792.75
2022-11-09,ESZ22,3832.5,3848.75,3750.0
2022-11-10,ESZ22,3757.0,3973.5,3751.5
2022-11-11,ESZ22,3973.0,4009.75,3951.0
2022-11-14,ESZ22,3984.0,4017.5,3964.0
2022-11-15,ESZ22,3974.75,4050.75,3960.0
2022-11-16,ESZ22,3992.0,4015.75,3962.0
2022-11-17,ESZ22,3977.25,3990.25,3912.5
2022-11-18,ESZ22,3960.5,3994.0,3942.5
2022-11-21,ESZ22,3972.5,3982.0,3937.5
2022-11-22,ESZ22,3957.75,4012.5,3945.25
2022-11-23,ESZ22,4010.0,4039.5,4002.0
2022-11-25,ESZ22,4038.75,4049.25,4024.75
2022-11-28,ESZ22,4020.25,4024.0,3960.25
2022-11-29,ESZ22,3972.0,3990.25,3941.25
2022-11-30,ESZ22,3962.25,4093.5,3942.75
2022-12-01,ESZ22,4094.5,4110.0,4054.5
2022-12-02,ESZ22,4077.5,4085.5,4006.75
2022-12-05,ESZ22,4074.0,4075.75,3987.25
2022-12-06,ESZ22,4005.75,4014.75,3921.5
2022-12-07,ESZ22,3944.5,3961.5,3914.0
2022-12-08,ESZ22,3935.75,3977.25,3916.0
2022-12-09,ESZ22,3964.75,3990.0,3930.0
2022-12-12,ESH23,3965.75,4026.0,3956.0
2022-12-13,ESH23,4022.25,4180.0,4017.5
2022-12-14,ESH23,4054.5,4090.75,3997.0
2022-12-15,ESH23,4037.0,4043.0,3908.0
2022-12-16,ESH23,3920.0,3934.5,3855.25
2022-12-19,ESH23,3874.0,3899.0,3827.25
2022-12-20,ESH23,3842.75,3866.5,3803.5
2022-12-21,ESH23,3857.25,3918.75,3855.5
